system_id,method,outer_iteration,func_count,optimize_time,magsigma2,current_max,ls_H-H,ls_H-C,ls_C-C
d_110,GPDimer,0,56,10.5757,0.449576,10.1006,0.282579,0.343087,0.626258
d_110,GPDimer,1,27,7.64968,2.29032,9.35593,0.454651,0.546114,0.765754
d_110,GPDimer,2,19,6.91705,1.2792,6.55965,0.368703,0.469365,0.651778
d_110,GPDimer,3,5,2.22102,1.27716,4.85127,0.370485,0.475272,0.644866
d_110,GPDimer,4,7,3.86974,1.25923,1.36601,0.387615,0.471524,0.673023
d_110,GPDimer,5,19,12.8105,1.96604,2.26475,0.432442,0.53814,0.822023
d_110,GPDimer,6,27,22.021,4.50932,3.79367,0.50275,0.686171,1.11408
d_110,GPDimer,7,7,6.78314,4.50035,1.68115,0.508439,0.692556,1.16636
d_110,GPDimer,8,27,31.2228,35.815,62.479,0.745833,1.23625,2.24063
d_110,GPDimer,9,3,3.93494,35.7296,1.68115,0.748221,1.24631,2.25469
d_110,GPDimer,10,3,4.53648,35.932,62.9575,0.746563,1.23885,2.26802
d_110,GPDimer,11,11,18.8812,32.5852,1.68115,0.761839,1.21739,2.38516
d_110,GPDimer,12,3,5.82392,32.5488,2.09998,0.75964,1.2132,2.37558
d_110,GPDimer,13,3,6.5415,32.3906,1.43521,0.76152,1.22137,2.38015
d_110,GPDimer,14,3,7.31551,32.2066,1.3806,0.763863,1.23295,2.38922
d_110,GPDimer,15,3,8.15963,32.0329,1.33611,0.763407,1.24039,2.40678
d_110,GPDimer,16,7,21.2108,31.1601,0.715355,0.761681,1.22858,2.53142
d_110,GPDimer,17,3,9.9845,31.0791,1.54655,0.762437,1.23175,2.53781
d_110,GPDimer,18,7,26.1273,30.4982,2.33279,0.76494,1.22146,2.61763
d_110,GPDimer,19,60,239.535,0.594226,1.90496,0.362548,0.162412,0.780523
d_110,GPDimer,20,19,82.5003,0.464828,27.008,0.287422,0.123551,0.588919
d_110,GPDimer,21,7,33.0152,0.453429,42.5241,0.288076,0.125076,0.590012
d_110,GPDimer,22,7,35.7935,0.443005,80.8448,0.287785,0.128007,0.59171
d_110,GPDimer,23,11,60.8216,0.554983,223.157,0.309744,0.139562,0.639014
d_110,GPDimer,24,17,101.784,1.59426,342.288,0.536286,0.175716,1.04247
d_110,GPDimer,25,15,96.6851,3.66234,603.314,0.717043,0.21304,1.37901
d_110,GPDimer,26,15,103.405,10.8328,996.615,1.02961,0.265832,1.92154
d_110,GPDimer,27,15,112.301,27.0708,1833.42,1.55679,0.32218,2.74306
d_110,GPDimer,28,19,149.207,70.273,4205.32,2.43828,0.390775,3.93109
d_110,GPDimer,29,19,158.948,208.437,9673.35,3.32548,0.498699,5.17673
d_110,GPDimer,30,33,295.123,943.711,,1.5979,1.24763,5.19796
