system_id,method,outer_iteration,func_count,optimize_time,magsigma2,current_max,ls_H-H,ls_H-C,ls_C-C,dist_from_known,threshold,stopped_early
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0291716,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0436896,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0580092,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0717865,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0830954,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0888424,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0958693,0.173438,False
d_110,OTGPD,0,52,17.8893,0.564626,9.40611,0.195778,0.600928,1.82872,0.0989732,0.173438,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0339219,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0443778,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0554727,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0562423,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0632364,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0657381,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0732437,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0759172,0.177934,False
d_110,OTGPD,1,12,5.38913,0.50596,8.97354,0.173906,0.50986,1.83698,0.0853041,0.177934,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0367011,0.182368,False
d_110,OTGPD,2,12,7.21735,0.514705,4.04921,0.198041,0.421655,1.57925,0.0443991,0.182368,False
