system_id,method,outer_iteration,func_count,optimize_time,current_max,magsigma2,ls_H-H,ls_H-C,ls_H-O,ls_C-C,ls_C-O
d_136,GPDimer,0,61,34.0871,2.75325,0.0304955,0.102959,0.239712,0.170075,0.235037,0.718695
d_136,GPDimer,1,15,11.6094,7.27929,0.0330721,0.107476,0.244902,0.136173,0.235249,0.667674
d_136,GPDimer,2,58,59.049,6.39308,3.93939,0.354502,0.873961,0.659959,1.12907,0.683847
d_136,GPDimer,3,7,9.1719,6.31112,3.8502,0.352308,0.859428,0.6542,1.18044,0.703334
d_136,GPDimer,4,15,24.4563,1.37859,3.57032,0.352236,0.856489,0.595014,1.21154,0.672763
d_136,GPDimer,5,9,18.0971,6.28374,3.44754,0.353796,0.845287,0.606791,1.22732,0.684835
d_136,GPDimer,6,13,31.3575,7.35264,3.54881,0.367079,0.853819,0.584401,1.19242,0.553746
d_136,GPDimer,7,9,25.6929,1.6673,3.55073,0.372562,0.836873,0.575983,1.23895,0.558076
d_136,GPDimer,8,5,16.7677,1.60165,3.52822,0.379548,0.84668,0.580623,1.25042,0.564008
d_136,GPDimer,9,21,81.3921,3.55422,7.60527,0.451145,1.00975,0.691141,1.59755,0.735624
d_136,GPDimer,10,45,201.153,2.2891,26.8922,0.594831,1.35581,0.911234,2.44544,1.12014
d_136,GPDimer,11,3,15.2447,34.6893,26.7798,0.59858,1.36626,0.913589,2.4599,1.12579
d_136,GPDimer,12,45,257.523,2.2891,86.3672,0.779161,1.80751,1.16634,3.7193,1.71346
d_136,GPDimer,13,3,19.3176,85.236,86.5678,0.781664,1.80139,1.16524,3.72591,1.71523
d_136,GPDimer,14,3,21.6426,2.2891,86.2688,0.781947,1.81908,1.16338,3.73964,1.71815
d_136,GPDimer,15,3,23.9753,90.8191,86.5267,0.77953,1.80952,1.15968,3.75123,1.72064
d_136,GPDimer,16,25,221.626,2.2891,23.6724,0.600822,1.40343,0.939508,2.52847,1.1942
d_136,GPDimer,17,3,29.2974,0.58975,23.7114,0.60005,1.39434,0.938036,2.52823,1.19493
d_136,GPDimer,18,3,32.1366,0.308862,23.6,0.602933,1.39971,0.936637,2.5389,1.19853
d_136,GPDimer,19,5,58.1471,0.513582,23.3332,0.60835,1.38902,0.931077,2.59178,1.2194
d_136,GPDimer,20,3,38.783,0.614824,23.2355,0.608792,1.39621,0.928301,2.6025,1.23032
d_136,GPDimer,21,9,123.755,0.395128,23.1567,0.611283,1.39023,0.907331,2.61634,1.31329
d_136,GPDimer,22,5,74.4499,0.351835,23.0775,0.618009,1.38588,0.908153,2.63223,1.32107
d_136,GPDimer,23,3,48.1397,0.0828054,23.0034,0.620226,1.38827,0.908449,2.64249,1.32425
d_136,GPDimer,24,3,52.7043,0.0905625,23.0085,0.621109,1.38007,0.908235,2.64607,1.32574
d_136,GPDimer,25,3,56.4798,0.109925,22.941,0.624615,1.3719,0.907378,2.66778,1.33312
d_136,GPDimer,26,3,59.8903,0.0543645,22.9449,0.624231,1.36553,0.906083,2.679,1.33747
d_136,GPDimer,27,3,64.4009,0.0963586,22.957,0.624731,1.35845,0.904531,2.68907,1.34218
d_136,GPDimer,28,5,113.678,0.0473987,22.9171,0.626588,1.35628,0.899074,2.75571,1.36578
d_136,GPDimer,29,3,72.5533,0.0450248,22.9828,0.626028,1.34761,0.898309,2.75646,1.36696
d_136,GPDimer,30,3,77.3011,0.0238103,23.0413,0.626143,1.34071,0.897007,2.75998,1.36869
d_136,GPDimer,31,3,81.7673,0.0104911,23.051,0.628298,1.34496,0.895064,2.77354,1.37425
d_136,GPDimer,32,3,87.5212,0.0107527,23.0956,0.628192,1.34068,0.894374,2.7771,1.37661
d_136,GPDimer,33,3,91.9968,,23.0844,0.628899,1.34556,0.894088,2.78312,1.37955
