system_id,method,outer_iteration,func_count,optimize_time,current_max,magsigma2,ls_H-H,ls_H-C,ls_H-O,ls_C-C,ls_C-O,dist_from_known,threshold,stopped_early
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0287546,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.038272,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0474778,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0489941,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0538983,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0557516,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0647087,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0660715,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0743993,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0756759,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.084013,0.164258,False
d_136,OTGPD,0,66,28.1156,6.94539,0.0634641,0.102861,0.417811,0.161203,0.58395,0.834778,0.0846802,0.164258,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.0225254,0.16888,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.029856,0.16888,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.0506435,0.16888,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.054277,0.16888,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.0555126,0.16888,False
d_136,OTGPD,1,32,21.954,4.24891,0.042546,0.0987749,0.26441,0.165314,0.525051,0.171721,0.0560276,0.16888,False
