pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,termination_status,rmsd_init_saddle
15,9,31.016,-3148.033409,0.00362832,true,OTGP,lbfgs,lbfgs,-3147.0108056043473,-1.0226033956528227,000,doublets,GOOD,0.21522996936243416
29,21,366.588,-6264.153249,0.00214676,true,OTGP,lbfgs,lbfgs,-6263.918892787333,-0.2343562126670804,001,doublets,GOOD,0.648196200765922
28,21,819.613,-8374.542796,0.00316539,true,OTGP,lbfgs,lbfgs,-8373.47694950551,-1.0658464944899606,002,doublets,GOOD,0.40565853116710476
,,,,,false,OTGP,,,,,003,doublets,Timeout,
32,25,1625.578,-8427.944612,0.00176042,true,OTGP,lbfgs,lbfgs,-8427.356535201137,-0.5880767988619482,004,doublets,GOOD,32.52113824339172
22,18,131.775,-6232.333204,0.00335437,true,OTGP,lbfgs,lbfgs,-6232.017970923014,-0.31523307698535064,005,doublets,GOOD,0.38797658924267575
32,26,326.48,-7199.671076,0.00567072,true,OTGP,lbfgs,lbfgs,-7196.682451181208,-2.9886248187913225,006,doublets,GOOD,1.0717052159023548
53,48,5608.071,-9431.57764,0.00232959,true,OTGP,lbfgs,lbfgs,-9430.195682785381,-1.3819572146185237,007,doublets,GOOD,1.7357064212297744
46,38,2076.111,-10368.788578,0.00269959,true,OTGP,lbfgs,lbfgs,-10368.743558926762,-0.045019073237199336,008,doublets,GOOD,2.1806847983158875
28,22,1624.598,-8462.338034,0.00211514,true,OTGP,lbfgs,lbfgs,-8461.26335601834,-1.0746779816599883,009,doublets,GOOD,0.24580188560347574
29,19,877.14,-6350.949893,0.00200276,true,OTGP,lbfgs,lbfgs,-6349.353866156943,-1.5960268430571887,010,doublets,GOOD,0.28110082982400575
31,24,634.415,-7318.545997,0.00207225,true,OTGP,lbfgs,lbfgs,-7317.877980063683,-0.6680169363171444,011,doublets,GOOD,0.34359751106055275
26,20,1227.814,-7406.048299,0.00252226,true,OTGP,lbfgs,lbfgs,-7405.0350474883135,-1.0132515116865761,012,doublets,GOOD,0.24006587913187566
23,16,759.492,-7405.417089,0.00185233,true,OTGP,lbfgs,lbfgs,-7404.6309207988725,-0.7861682011271114,013,doublets,GOOD,0.15897325063778592
23,15,634.921,-7375.913283,0.00202945,true,OTGP,lbfgs,lbfgs,-7375.222246944362,-0.6910360556375963,014,doublets,GOOD,19.242701896531237
