mol_id,spin,method,success,pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,dimer_rot,dimer_trans,init_energy,barrier,termination_status,rmsd_init_saddle
000,doublets,OTGP,false,,,,,,,,,,,
001,doublets,OTGP,false,,,,,,,,,,,
002,doublets,OTGP,false,,,,,,,,,,,
003,doublets,OTGP,false,,,,,,,,,,,
004,doublets,OTGP,true,32,25,1626.054,-8427.944613,0.00170707,lbfgs,lbfgs,-8427.356535201143,-0.5880777988568298,GOOD,32.52101385350358
005,doublets,OTGP,false,,,,,,,,,,,
006,doublets,OTGP,false,,,,,,,,,,,
007,doublets,OTGP,false,,,,,,,,,,,
008,doublets,OTGP,false,,,,,,,,,,,
009,doublets,OTGP,false,,,,,,,,,,,
010,doublets,OTGP,false,,,,,,,,,,,
011,doublets,OTGP,false,,,,,,,,,,,
012,doublets,OTGP,false,,,,,,,,,,,
013,doublets,OTGP,false,,,,,,,,,,,
014,doublets,OTGP,true,24,16,701.201,-7375.913285,0.00283535,lbfgs,lbfgs,-7375.222246944347,-0.6910380556528253,GOOD,19.27103627779557
015,doublets,OTGP,false,,,,,,,,,,,
016,doublets,OTGP,false,,,,,,,,,,,
017,doublets,OTGP,false,,,,,,,,,,,
018,doublets,OTGP,false,,,,,,,,,,,
019,doublets,OTGP,false,,,,,,,,,,,
020,doublets,OTGP,false,,,,,,,,,,,
021,doublets,OTGP,false,,,,,,,,,,,
022,doublets,OTGP,false,,,,,,,,,,,
023,doublets,OTGP,false,,,,,,,,,,,
024,doublets,OTGP,false,,,,,,,,,,,
025,doublets,OTGP,false,,,,,,,,,,,
026,doublets,OTGP,false,,,,,,,,,,,
027,doublets,OTGP,false,,,,,,,,,,,
028,doublets,OTGP,false,,,,,,,,,,,
029,doublets,OTGP,false,,,,,,,,,,,
030,doublets,OTGP,false,,,,,,,,,,,
031,doublets,OTGP,false,,,,,,,,,,,
032,doublets,OTGP,false,,,,,,,,,,,
033,doublets,OTGP,false,,,,,,,,,,,
034,doublets,OTGP,false,,,,,,,,,,,
035,doublets,OTGP,false,,,,,,,,,,,
036,doublets,OTGP,false,,,,,,,,,,,
037,doublets,OTGP,false,,,,,,,,,,,
038,doublets,OTGP,false,,,,,,,,,,,
039,doublets,OTGP,false,,,,,,,,,,,
040,doublets,OTGP,false,,,,,,,,,,,
041,doublets,OTGP,false,,,,,,,,,,,
042,doublets,OTGP,false,,,,,,,,,,,
043,doublets,OTGP,false,,,,,,,,,,,
044,doublets,OTGP,false,,,,,,,,,,,
045,doublets,OTGP,false,,,,,,,,,,,
046,doublets,OTGP,false,,,,,,,,,,,
047,doublets,OTGP,false,,,,,,,,,,,
