pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,termination_status,rmsd_init_saddle
16,10,97.71,-3148.033383,0.00431945,true,GPRD,lbfgs,lbfgs,-3147.010779481928,-1.0226035180721738,000,doublets,GOOD,0.3260582445344945
31,24,429.706,-6264.153199,0.00231399,true,GPRD,lbfgs,lbfgs,-6263.918841129346,-0.23435787065409386,001,doublets,GOOD,0.7044114610905278
37,31,1578.454,-8374.542737,0.00149124,true,GPRD,lbfgs,lbfgs,-8373.476880631448,-1.0658563685519766,002,doublets,GOOD,0.4154773972762838
23,16,648.297,-8375.735057,0.00344528,true,GPRD,lbfgs,lbfgs,-8369.81687960703,-5.918177392970392,003,doublets,GOOD,0.18723533009951324
32,25,1523.844,-8427.944533,0.00277679,true,GPRD,lbfgs,lbfgs,-8427.356465179797,-0.588067820202923,004,doublets,GOOD,32.51859404182034
23,16,200.56,-6232.333211,0.00174835,true,GPRD,lbfgs,lbfgs,-6232.017919420575,-0.3152915794253204,005,doublets,GOOD,0.17232626956585784
,,,,,false,GPRD,,,,,006,doublets,Error,
58,52,9583.189,-9432.630489,0.00246826,true,GPRD,lbfgs,lbfgs,-9430.195606183837,-2.4348828161619167,007,doublets,GOOD,9.899336999035302
42,36,1567.65,-10368.480734,0.00293106,true,GPRD,lbfgs,lbfgs,-10368.743474524905,0.26274052490407485,008,doublets,GOOD,0.7996055262001012
49,43,9706.365,-8463.413164,0.00169693,true,GPRD,lbfgs,lbfgs,-8461.263286858568,-2.149877141431716,009,doublets,GOOD,36.18563089398309
36,28,1336.459,-6350.949951,0.00241684,true,GPRD,lbfgs,lbfgs,-6349.353813651482,-1.5961373485179138,010,doublets,GOOD,0.2972174803133485
30,25,565.377,-7318.546002,0.00200546,true,GPRD,lbfgs,lbfgs,-7317.877919927892,-0.6680820721076088,011,doublets,GOOD,0.35376906686394066
28,20,1592.525,-7406.048339,0.00282821,true,GPRD,lbfgs,lbfgs,-7405.0349868030635,-1.0133521969364665,012,doublets,GOOD,0.23753933350033118
36,28,2553.408,-7405.417035,0.00236542,true,GPRD,lbfgs,lbfgs,-7404.630859922598,-0.7861750774027314,013,doublets,GOOD,0.17151719613848598
21,14,518.215,-7375.913159,0.00251968,true,GPRD,lbfgs,lbfgs,-7375.222186542769,-0.6909724572306004,014,doublets,GOOD,19.327576110542005
30,25,782.862,-9344.179553,0.00190262,true,GPRD,lbfgs,lbfgs,-9343.806708812208,-0.3728441877919977,015,doublets,GOOD,0.4194130794394367
20,12,220.679,-5261.558994,0.00277679,true,GPRD,lbfgs,lbfgs,-5253.091962378765,-8.467031621235037,016,doublets,GOOD,0.29884757561481995
31,25,711.655,-9314.161775,0.00185119,true,GPRD,lbfgs,lbfgs,-9307.432023764095,-6.729751235905496,017,doublets,GOOD,7.540763979649885
20,12,341.433,-6318.265995,0.00174835,true,GPRD,lbfgs,lbfgs,-6310.541737949134,-7.724257050866072,018,doublets,GOOD,0.29438720645076305
25,19,313.101,-5262.148064,0.00344528,true,GPRD,lbfgs,lbfgs,-5261.747493937388,-0.40057006261213246,019,doublets,GOOD,0.15219073330041533
41,33,1850.199,-8342.835652,0.00221115,true,GPRD,lbfgs,lbfgs,-8342.52865989369,-0.3069921063106449,020,doublets,GOOD,0.4267116568877965
25,19,658.522,-6350.718571,0.00195404,true,GPRD,lbfgs,lbfgs,-6348.535092700217,-2.183478299783019,021,doublets,GOOD,0.7034415974221734
20,13,222.028,-6264.015042,0.00282821,true,GPRD,lbfgs,lbfgs,-6263.481525188488,-0.5335168115116176,022,doublets,GOOD,0.289516015931861
37,29,1571.424,-6348.728554,0.00241684,true,GPRD,lbfgs,lbfgs,-6343.8465617188795,-4.881992281120802,023,doublets,GOOD,1.1455118741332364
32,27,467.757,-6262.274971,0.00241684,true,GPRD,lbfgs,lbfgs,-6261.6316841086345,-0.6432868913652783,024,doublets,GOOD,0.7631978469382399
61,55,11833.763,-8461.169877,0.00133697,true,GPRD,lbfgs,lbfgs,-8459.960723436816,-1.2091535631843726,025,doublets,GOOD,19.72274500620567
23,15,235.415,-4238.268187,0.00174835,true,GPRD,lbfgs,lbfgs,-4236.4328063982275,-1.8353806017721581,026,doublets,GOOD,0.5833090355133574
42,37,4478.468,-8462.146091,0.00318817,true,GPRD,lbfgs,lbfgs,-8461.063300167765,-1.0827908322353323,027,doublets,GOOD,39.57628940143436
33,28,1086.638,-10370.028379,0.0030339,true,GPRD,lbfgs,lbfgs,-10365.226249238069,-4.802129761930701,028,doublets,GOOD,1.2886473313831723
26,21,1212.113,-8460.852942,0.00149124,true,GPRD,lbfgs,lbfgs,-8453.112389633288,-7.740552366711199,029,doublets,GOOD,8.728432717890241
26,19,554.419,-7318.343179,0.00354812,true,GPRD,lbfgs,lbfgs,-7316.51285499639,-1.830324003610258,030,doublets,GOOD,0.3654748380256116
25,17,256.502,-6230.221349,0.00277679,true,GPRD,lbfgs,lbfgs,-6226.555747518091,-3.665601481909107,031,doublets,GOOD,2.4660806600359177
34,28,1097.255,-9341.641787,0.00241684,true,GPRD,lbfgs,lbfgs,-9341.054424462613,-0.5873625373878895,032,doublets,GOOD,1.277085165770049
31,25,630.196,-6317.847033,0.00282821,true,GPRD,lbfgs,lbfgs,-6316.552446965593,-1.2945860344070752,033,doublets,GOOD,0.5671473975256882
34,27,937.46,-7319.891076,0.0021083,true,GPRD,lbfgs,lbfgs,-7317.8732316747655,-2.017844325234364,034,doublets,GOOD,0.6715028888977407
22,16,455.313,-9342.500259,0.00154266,true,GPRD,lbfgs,lbfgs,-9342.115910061935,-0.384348938065159,035,doublets,GOOD,0.08258092341262623
37,29,1396.71,-9313.322132,0.00267395,true,GPRD,lbfgs,lbfgs,-9312.469548010406,-0.8525839895937679,036,doublets,GOOD,0.20770601428623456
27,21,461.713,-8286.796856,0.00267395,true,GPRD,lbfgs,lbfgs,-8286.572586557335,-0.2242694426659,037,doublets,GOOD,0.19623241177853426
33,26,2474.836,-8462.227446,0.00185119,true,GPRD,lbfgs,lbfgs,-8459.923908229273,-2.3035377707274165,038,doublets,GOOD,0.43863451795975594
33,25,583.208,-5262.648161,0.00339386,true,GPRD,lbfgs,lbfgs,-5261.275652558276,-1.3725084417237667,039,doublets,GOOD,2.95555857339645
26,20,203.604,-5175.037559,0.00241684,true,GPRD,lbfgs,lbfgs,-5174.64507989459,-0.3924791054105299,040,doublets,GOOD,0.2958298392426413
32,24,701.963,-9312.150924,0.00241684,true,GPRD,lbfgs,lbfgs,-9312.501515169766,0.35059116976663063,041,doublets,GOOD,0.3030201531112129
18,12,114.151,-4203.700799,0.00318817,true,GPRD,lbfgs,lbfgs,-4202.0839358078865,-1.6168631921136694,042,doublets,GOOD,0.1885621068774084
43,37,1300.277,-8288.589288,0.00359954,true,GPRD,lbfgs,lbfgs,-8285.828074363711,-2.761213636287721,043,doublets,GOOD,31.373987608348138
32,25,684.001,-7318.187753,0.00200546,true,GPRD,lbfgs,lbfgs,-7317.455807317176,-0.7319456828245166,044,doublets,GOOD,0.15956806340788346
58,50,9641.255,-9433.025644,0.00159408,true,GPRD,lbfgs,lbfgs,-9431.300965368886,-1.7246786311134201,045,doublets,GOOD,4.44934152458247
23,18,466.313,-6350.860831,0.0034967,true,GPRD,lbfgs,lbfgs,-6349.743458127506,-1.117372872494343,046,doublets,GOOD,0.38798683735839445
26,20,1491.099,-8462.147268,0.00226257,true,GPRD,lbfgs,lbfgs,-8460.568838371784,-1.5784296282163268,047,doublets,GOOD,0.3425555412724296
22,16,227.666,-5262.148042,0.00267395,true,GPRD,lbfgs,lbfgs,-5261.503255856968,-0.6447861430315243,048,doublets,GOOD,0.1899797415515684
35,29,531.201,-6263.234951,0.0034967,true,GPRD,lbfgs,lbfgs,-6262.449815106627,-0.7851358933730808,049,doublets,GOOD,0.23466915616564066
49,41,2245.78,-9312.920074,0.00282821,true,GPRD,lbfgs,lbfgs,-9308.79152783773,-4.1285461622701405,050,doublets,GOOD,6.895854619925278
19,13,135.54,-4204.781142,0.00539932,true,GPRD,lbfgs,lbfgs,-4199.989427166905,-4.791714833094375,051,doublets,GOOD,0.4549632260837104
,,,,,false,GPRD,,,,,052,doublets,Error,
27,22,916.122,-7407.14866,0.00200546,true,GPRD,lbfgs,lbfgs,-7406.03142231871,-1.1172376812901348,053,doublets,GOOD,0.38812386160960727
27,19,772.72,-10371.048955,0.00246826,true,GPRD,lbfgs,lbfgs,-10370.68507364368,-0.3638813563193253,054,doublets,GOOD,1.3295445711122023
37,30,919.781,-7317.75966,0.00375381,true,GPRD,lbfgs,lbfgs,-7317.208626826673,-0.5510331733266867,055,doublets,GOOD,5.857845469760328
40,35,2894.608,-8430.246443,0.00190262,true,GPRD,lbfgs,lbfgs,-8429.584395957509,-0.6620470424913947,056,doublets,GOOD,3.4944952902922384
36,28,1967.105,-10370.444949,0.00226257,true,GPRD,lbfgs,lbfgs,-10367.796714662358,-2.6482343376428616,057,doublets,GOOD,1.401432977217054
21,15,170.283,-4203.418606,0.0025711,true,GPRD,lbfgs,lbfgs,-4201.444779736668,-1.97382626333183,058,doublets,GOOD,2.1147811738972013
23,16,268.002,-8258.172181,0.00318817,true,GPRD,lbfgs,lbfgs,-8257.065982577848,-1.1061984221523744,059,doublets,GOOD,0.23315523448851727
27,20,420.154,-8254.104859,0.00107986,true,GPRD,lbfgs,lbfgs,-8253.4865733909,-0.6182856090999849,060,doublets,GOOD,0.20687463458566513
82,76,27570.045,-8376.534609,0.00344528,true,GPRD,lbfgs,lbfgs,-8374.404429502592,-2.1301794974078803,061,doublets,GOOD,2.583148683337927
43,37,4535.68,-7407.05819,0.00308532,true,GPRD,lbfgs,lbfgs,-7405.008600142855,-2.049589857144383,062,doublets,GOOD,0.37255504882749146
29,21,544.472,-7288.705694,0.00323959,true,GPRD,lbfgs,lbfgs,-7287.209080453613,-1.4966135463873798,063,doublets,GOOD,0.4095740240006313
23,15,230.629,-6232.333096,0.00339386,true,GPRD,lbfgs,lbfgs,-6230.734031892113,-1.5990641078869885,064,doublets,GOOD,0.5985443871022796
38,30,1440.148,-6348.492591,0.00149124,true,GPRD,lbfgs,lbfgs,-6347.021014122526,-1.4715768774740354,065,doublets,GOOD,0.5693047106664388
28,22,423.82,-7287.369735,0.00179977,true,GPRD,lbfgs,lbfgs,-7283.736204511015,-3.6335304889853433,066,doublets,GOOD,1.2695591248722276
54,48,4862.968,-7373.022205,0.00185119,true,GPRD,lbfgs,lbfgs,-7371.457358647199,-1.5648463528013963,067,doublets,GOOD,0.783425436210308
36,29,2280.896,-10398.087179,0.0039595,true,GPRD,lbfgs,lbfgs,-10396.688558593893,-1.3986204061075114,068,doublets,GOOD,0.9380933840579557
58,52,8436.026,-10399.548075,0.00359954,true,GPRD,lbfgs,lbfgs,-10399.38072054508,-0.1673544549212238,069,doublets,GOOD,16.175187114905874
19,13,297.46,-9311.838448,0.00365097,true,GPRD,lbfgs,lbfgs,-9311.415871670484,-0.42257632951623236,070,doublets,GOOD,0.20028548404769428
36,29,810.747,-7288.705799,0.00473083,true,GPRD,lbfgs,lbfgs,-7287.178127984032,-1.5276710159687354,071,doublets,GOOD,0.40993920496044295
30,24,518.962,-7286.334367,0.00149124,true,GPRD,lbfgs,lbfgs,-7285.354171979165,-0.9801950208357084,072,doublets,GOOD,0.17412478975353532
25,18,332.863,-7286.509871,0.00267395,true,GPRD,lbfgs,lbfgs,-7285.527325177304,-0.9825458226960109,073,doublets,GOOD,0.2152638010615399
28,20,551.897,-9314.430324,0.00241684,true,GPRD,lbfgs,lbfgs,-9312.49055318378,-1.9397708162214258,074,doublets,GOOD,21.30681054640533
,,,,,false,GPRD,,,,,075,doublets,Timeout,
19,13,283.002,-6318.159127,0.00313675,true,GPRD,lbfgs,lbfgs,-6316.892143780752,-1.266983219247777,076,doublets,GOOD,0.33946450891410607
34,28,1353.99,-9399.990202,0.00185119,true,GPRD,lbfgs,lbfgs,-9399.770169691152,-0.22003230884911318,077,doublets,GOOD,0.3629170785731753
24,17,241.455,-7230.189951,0.00318817,true,GPRD,lbfgs,lbfgs,-7226.756185515156,-3.433765484844116,078,doublets,GOOD,0.219034588706311
21,13,220.091,-8258.034675,0.00354812,true,GPRD,lbfgs,lbfgs,-8256.07734728383,-1.9573277161707665,079,doublets,GOOD,0.2642025714304975
35,30,1790.425,-7405.810883,0.00282821,true,GPRD,lbfgs,lbfgs,-7404.73089377363,-1.0799892263703441,080,doublets,GOOD,0.2667116379381191
23,18,190.083,-4236.075561,0.00195404,true,GPRD,lbfgs,lbfgs,-4235.287391162949,-0.7881698370511003,081,doublets,GOOD,0.1982461039115245
36,29,1073.778,-8343.628068,0.00185119,true,GPRD,lbfgs,lbfgs,-8341.494698139295,-2.1333698607049882,082,doublets,GOOD,9.499586502431695
26,20,231.36,-4238.30723,0.00318817,true,GPRD,lbfgs,lbfgs,-4237.2148149307,-1.092415069299932,083,doublets,GOOD,6.918755061194054
75,69,25021.347,-8376.461676,0.00190262,true,GPRD,lbfgs,lbfgs,-8371.188082226543,-5.273593773457833,084,doublets,GOOD,7.262406222937211
29,21,620.348,-9312.425141,0.0025711,true,GPRD,lbfgs,lbfgs,-9311.068372702368,-1.3567682976317883,085,doublets,GOOD,0.6026911173665218
84,76,15876.956,-7320.288854,0.00365097,true,GPRD,lbfgs,lbfgs,-7316.788901670909,-3.499952329091684,086,doublets,GOOD,14.015703911937353
,,,,,false,GPRD,,,,,087,doublets,Error,
40,35,2402.002,-8429.954151,0.00313675,true,GPRD,lbfgs,lbfgs,-8429.438538122806,-0.515612877194144,088,doublets,GOOD,0.9649001316936557
42,35,3755.078,-9432.366408,0.00236542,true,GPRD,lbfgs,lbfgs,-9430.31750370731,-2.048904292689258,089,doublets,GOOD,22.431191389432858
21,16,147.09,-5206.92467,0.00375381,true,GPRD,lbfgs,lbfgs,-5204.907386123687,-2.0172838763137406,090,doublets,GOOD,0.30202450589052526
40,32,3402.607,-9432.532757,0.00149124,true,GPRD,lbfgs,lbfgs,-9431.000141581766,-1.5326154182348546,091,doublets,GOOD,0.3308184993498244
28,21,646.297,-7318.62894,0.00226257,true,GPRD,lbfgs,lbfgs,-7316.9986710399435,-1.630268960056128,092,doublets,GOOD,0.5444785294181236
21,14,209.314,-6230.578011,0.00221115,true,GPRD,lbfgs,lbfgs,-6230.523244303763,-0.05476669623658381,093,doublets,GOOD,0.2783426985159493
43,37,2740.504,-8375.906189,0.00231399,true,GPRD,lbfgs,lbfgs,-8374.491563972055,-1.4146250279445667,094,doublets,GOOD,0.2919647370286247
35,27,1566.28,-8373.783638,0.00329101,true,GPRD,lbfgs,lbfgs,-8368.292184074664,-5.4914539253368275,095,doublets,GOOD,3.040141347724816
34,28,1117.153,-8374.986787,0.00241684,true,GPRD,lbfgs,lbfgs,-8374.22020393088,-0.7665830691203155,096,doublets,GOOD,0.1602104937936188
32,24,1320.241,-8373.883913,0.00205688,true,GPRD,lbfgs,lbfgs,-8373.48211437795,-0.4017986220496823,097,doublets,GOOD,0.5620845529902607
21,14,352.665,-7320.508051,0.00226257,true,GPRD,lbfgs,lbfgs,-7318.105726509761,-2.4023244902391525,098,doublets,GOOD,0.33461662437071776
32,26,710.488,-8342.898115,0.00267395,true,GPRD,lbfgs,lbfgs,-8342.000792896788,-0.8973221032119909,099,doublets,GOOD,0.4092823243437517
28,21,972.534,-10369.984024,0.00246826,true,GPRD,lbfgs,lbfgs,-10365.132614526588,-4.851409473410968,100,doublets,GOOD,0.45234764090849805
25,19,562.069,-8344.147376,0.00262253,true,GPRD,lbfgs,lbfgs,-8343.567016129264,-0.5803598707370838,101,doublets,GOOD,0.2159733257397775
,,,,,false,GPRD,,,,,102,doublets,Timeout,
41,35,3707.181,-8461.554248,0.00241684,true,GPRD,lbfgs,lbfgs,-8460.387725517377,-1.166522482622895,103,doublets,GOOD,0.14906028852098732
,,,,,false,GPRD,,,,,104,doublets,Error,
36,29,844.644,-7286.018854,0.00282821,true,GPRD,lbfgs,lbfgs,-7283.411169525917,-2.6076844740828165,105,doublets,GOOD,0.8884384491079016
35,27,981.338,-7318.348635,0.00221115,true,GPRD,lbfgs,lbfgs,-7317.629813765657,-0.7188212343435225,106,doublets,GOOD,0.19066257666761022
35,30,967.901,-6349.016791,0.00231399,true,GPRD,lbfgs,lbfgs,-6347.944958674188,-1.0718323258124656,107,doublets,GOOD,8.967787406897072
24,18,268.179,-6263.027768,0.0030339,true,GPRD,lbfgs,lbfgs,-6260.867670422147,-2.1600975778528664,108,doublets,GOOD,0.3135382643342288
90,83,19807.115,-10368.139922,0.00293106,true,GPRD,lbfgs,lbfgs,-10367.841872595247,-0.2980494047533284,109,doublets,GOOD,2.0481797636468904
,,,,,false,GPRD,,,,,110,doublets,Timeout,
29,22,835.067,-9344.123551,0.0025711,true,GPRD,lbfgs,lbfgs,-9341.726018717496,-2.3975322825044714,111,doublets,GOOD,0.5120704917503127
32,27,1163.63,-10371.58998,0.00200546,true,GPRD,lbfgs,lbfgs,-10371.226860178373,-0.3631198216280609,112,doublets,GOOD,0.9129029282996658
31,23,1677.995,-9400.129872,0.00200546,true,GPRD,lbfgs,lbfgs,-9397.321455239851,-2.8084167601482477,113,doublets,GOOD,0.5416034834164271
47,39,3127.057,-8374.160475,0.00246826,true,GPRD,lbfgs,lbfgs,-8373.783787018787,-0.3766879812137631,114,doublets,GOOD,2.5192977650712987
85,79,17684.941,-9400.009045,0.00293106,true,GPRD,lbfgs,lbfgs,-9397.98615278304,-2.0228922169608268,115,doublets,GOOD,19.423066159468895
29,22,649.167,-7318.839004,0.00241684,true,GPRD,lbfgs,lbfgs,-7316.68481789343,-2.1541861065707053,116,doublets,GOOD,0.7818278777553184
20,14,143.712,-4205.656579,0.00221115,true,GPRD,lbfgs,lbfgs,-4202.772100228911,-2.8844787710895616,117,doublets,GOOD,0.33568977681340845
43,35,4512.129,-9432.426359,0.00318817,true,GPRD,lbfgs,lbfgs,-9430.329843831521,-2.0965151684777084,118,doublets,GOOD,2.171278263313829
23,16,325.973,-7288.705839,0.00200546,true,GPRD,lbfgs,lbfgs,-7288.362612869996,-0.3432261300040409,119,doublets,GOOD,0.12210470211297392
32,24,1481.408,-7404.949045,0.00287964,true,GPRD,lbfgs,lbfgs,-7400.071878030369,-4.877166969631617,120,doublets,GOOD,13.224765138806378
27,20,381.507,-7288.305457,0.00287964,true,GPRD,lbfgs,lbfgs,-7287.7988603090025,-0.506596690997867,121,doublets,GOOD,0.10633457603594965
25,17,290.087,-5262.791058,0.00154266,true,GPRD,lbfgs,lbfgs,-5261.2589070265885,-1.5321509734112624,122,doublets,GOOD,2.1395244208899857
68,60,12661.561,-8376.523783,0.00159408,true,GPRD,lbfgs,lbfgs,-8374.523409697887,-2.0003733021130756,123,doublets,GOOD,13.020029754165298
