pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,success,method,dimer_rot,dimer_trans,init_energy,barrier,mol_id,spin,termination_status,rmsd_init_saddle
79,34,348.764,-3148.033384,0.00755358,true,Dimer,cg,lbfgs,-3147.010779481928,-1.0226045180720575,000,doublets,GOOD,0.19555527896049715
369,154,1870.224,-6264.153169,0.00985896,true,Dimer,cg,lbfgs,-6263.918841129346,-0.23432787065394223,001,doublets,GOOD,0.6948124931686136
285,137,1634.324,-8374.542703,0.00951764,true,Dimer,cg,lbfgs,-8373.476880631419,-1.0658223685804842,002,doublets,GOOD,0.4097697412896468
260,107,1390.311,-8375.735092,0.00707791,true,Dimer,cg,lbfgs,-8369.816879607057,-5.918212392944042,003,doublets,GOOD,0.19307842731917338
936,325,5609.868,-8427.94459,0.0066416,true,Dimer,cg,lbfgs,-8427.356466392663,-0.5881236073364562,004,doublets,GOOD,32.51901752004537
121,40,622.047,-6232.333148,0.0099801,true,Dimer,cg,lbfgs,-6232.017919420575,-0.315228579424911,005,doublets,GOOD,0.11846715660980958
541,239,4325.554,-7199.671012,0.00838367,true,Dimer,cg,lbfgs,-7196.682391721864,-2.988620278135386,006,doublets,GOOD,3.7308625169607166
1406,690,6963.188,-9431.578042,0.00706839,true,Dimer,cg,lbfgs,-9430.195606183865,-1.3824358161346026,007,doublets,GOOD,6.982811729569118
578,269,2857.46,-10368.484964,0.00913331,true,Dimer,cg,lbfgs,-10368.74347452493,0.2585105249308981,008,doublets,GOOD,0.943044798517411
192,89,975.302,-8462.33772,0.00920551,true,Dimer,cg,lbfgs,-8461.263286858595,-1.07443314140437,009,doublets,GOOD,0.24759330577555813
315,122,1521.926,-6350.949891,0.00821671,true,Dimer,cg,lbfgs,-6349.353813651482,-1.59607734851852,010,doublets,GOOD,0.27533077753013924
252,121,1384.252,-7318.546086,0.00965104,true,Dimer,cg,lbfgs,-7317.877919927892,-0.6681660721078515,011,doublets,GOOD,0.3406666722734219
226,106,1093.453,-7406.048408,0.00990469,true,Dimer,cg,lbfgs,-7405.0349868030635,-1.0134211969361786,012,doublets,GOOD,0.24425829378602892
129,60,619.873,-7405.417035,0.00989136,true,Dimer,cg,lbfgs,-7404.630859922598,-0.7861750774027314,013,doublets,GOOD,0.1648156692912965
271,116,1348.796,-7375.913115,0.00999996,true,Dimer,cg,lbfgs,-7375.222186542769,-0.6909284572311662,014,doublets,GOOD,19.321298925791847
243,117,1358.234,-9344.179537,0.0098647,true,Dimer,cg,lbfgs,-9343.806708812208,-0.3728281877920381,015,doublets,GOOD,0.3932703252285353
106,47,446.495,-5261.558994,0.00625824,true,Dimer,cg,lbfgs,-5253.091962378765,-8.467031621235037,016,doublets,GOOD,0.33135038983852266
532,229,2837.068,-9314.164072,0.00892523,true,Dimer,cg,lbfgs,-9307.432023764124,-6.732048235875482,017,doublets,GOOD,32.77942094609732
124,55,559.166,-6318.265996,0.00744749,true,Dimer,cg,lbfgs,-6310.541737949134,-7.7242580508664105,018,doublets,GOOD,0.2554622702496755
80,35,396.776,-5262.148064,0.00685398,true,Dimer,cg,lbfgs,-5261.747493937361,-0.4005700626394173,019,doublets,GOOD,0.13108742108614552
323,146,1933.134,-8342.835655,0.00757992,true,Dimer,cg,lbfgs,-8342.528659893716,-0.30699510628437565,020,doublets,GOOD,0.8772223686820223
339,161,1509.038,-6350.718563,0.00673039,true,Dimer,cg,lbfgs,-6348.535092700245,-2.1834702997557542,021,doublets,GOOD,0.7048629230504269
198,88,996.926,-6264.015105,0.00670911,true,Dimer,cg,lbfgs,-6263.481525188488,-0.5335798115120269,022,doublets,GOOD,0.2846224846496044
179,79,865.253,-6348.788608,0.00994558,true,Dimer,cg,lbfgs,-6343.846561718852,-4.942046281147668,023,doublets,GOOD,0.486341242218752
158,74,784.885,-6262.274977,0.00761301,true,Dimer,cg,lbfgs,-6261.6316841086345,-0.6432928913654905,024,doublets,GOOD,0.4422400064812472
653,319,3699.036,-8461.149223,0.00742616,true,Dimer,cg,lbfgs,-8459.960723436816,-1.1884995631844504,025,doublets,GOOD,22.297225390662327
